2025-08-27 15:31:32 | INFO     | utils.logging_config | setup_logging:60 | [SETUP] 無人機群模擬器日誌系統啟動
2025-08-27 15:31:32 | INFO     | utils.logging_config | setup_logging:61 | [DIR] 日誌目錄: C:\Users\User\Documents\drone_simulator\logs
2025-08-27 15:31:32 | INFO     | utils.logging_config | setup_logging:62 | [STATS] 日誌級別: INFO
2025-08-27 15:31:32 | INFO     | utils.logging_config | setup_logging:63 | [DESKTOP] 控制台輸出: 啟用
2025-08-27 15:31:32 | INFO     | utils.logging_config | setup_logging:64 | [FILE] 檔案輸出: 啟用
2025-08-27 15:31:32 | INFO     | utils.logging_config | setup_logging:65 | ============================================================
2025-08-27 15:32:24 | INFO     | utils.logging_config | setup_logging:59 | ============================================================
2025-08-27 15:32:24 | INFO     | utils.logging_config | setup_logging:60 | [SETUP] 無人機群模擬器日誌系統啟動
2025-08-27 15:32:24 | INFO     | utils.logging_config | setup_logging:61 | [DIR] 日誌目錄: C:\Users\User\Documents\drone_simulator\logs
2025-08-27 15:32:24 | INFO     | utils.logging_config | setup_logging:62 | [STATS] 日誌級別: INFO
2025-08-27 15:32:24 | INFO     | utils.logging_config | setup_logging:63 | [DESKTOP] 控制台輸出: 啟用
2025-08-27 15:32:24 | INFO     | utils.logging_config | setup_logging:64 | [FILE] 檔案輸出: 啟用
2025-08-27 15:32:24 | INFO     | utils.logging_config | setup_logging:65 | ============================================================
2025-08-27 15:32:35 | INFO     | utils.logging_config | setup_logging:59 | ============================================================
2025-08-27 15:32:35 | INFO     | utils.logging_config | setup_logging:60 | [SETUP] 無人機群模擬器日誌系統啟動
2025-08-27 15:32:35 | INFO     | utils.logging_config | setup_logging:61 | [DIR] 日誌目錄: C:\Users\User\Documents\drone_simulator\logs
2025-08-27 15:32:35 | INFO     | utils.logging_config | setup_logging:62 | [STATS] 日誌級別: INFO
2025-08-27 15:32:35 | INFO     | utils.logging_config | setup_logging:63 | [DESKTOP] 控制台輸出: 啟用
2025-08-27 15:32:35 | INFO     | utils.logging_config | setup_logging:64 | [FILE] 檔案輸出: 啟用
